ingredients
"salt,amchur (dry mango powder),karela (bitter gourd pavakkai),red chilli powder,gram flour (besan),onion,cumin seeds (jeera),coriander powder,turmeric powder,sunflower oil"
"tomato,salt,chickpea lentils,green chilli,rice,mustard,bc belle bhat powder,dry red chilli,cashew peanuts,oilasafoetida,cumin seeds,white urad dal"
"salt,rice vermicelli noodles (thin),asafoetida (hing),mustard seeds,ghee,green peas (matar),carrot,curry leaves,white urad dal (split),onion,lemon,green chillies"
"tomato,salt,ginger,sorrel leaves (gongura),fennel seeds (saunf),sesame (gingelly) oil,cloves garlic,coriander (dhania) seeds,onion,chicken,methi seeds (fenugreek seeds),dry red chillies,turmeric powder,green chillies,garam masala powder"
"tomato,salt,ginger,red chillies,curry,asafoetida,mustard,chana dal,onion,oil,coriander seeds,white urad dal"
"cashew nuts,salt,yellow moong dal (split),ginger,green chilli,rice,coriander (dhania) leaves,ghee,asafoetida (hing),water,black peppercorns,curry leaves,cumin seeds (jeera),mint leaves (pudina),sunflower oil"
"salt,tamarind water,coconut,mustard seeds,jaggery,vellai poosanikai (ash gourdwhite pumpkin),curry leaves,dry red chillies,coriander (dhania) seeds,methi seeds (fenugreek seeds),cumin seeds (jeera),turmeric powder,sesame seeds (til seeds),sunflower oil"
"tomato,spring onion greens,hung curd (greek yogurt),black beans,cloves garlic,rice brown rice,coriander (dhania) leaves,onion,lemon,cheddar cheese,spinach leaves (palak),tortillas"
"tomato,salt,coriander (dhania) leaves,idli,red chilli powder,tomato ketchup,onion,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,green chillies,sunflower oil"
"tomato,salt,turmeric powder,red chillies,spoon oil,rye,asafoetida,cloves garlic,curry leaves,cabbage leaves,tamarind,cumin seeds,white urad dal"
"tomato,salt,cumin powder (jeera),pepper ( pepper),cloves garlic,virgin olive oil,onion,dry beans (such cannellini soya beans),red chilli powder cayenne pepper,dried oregano"
"cheese,salt,burger buns,potato (aloo) pressure,tomato,soy granules,eggs,cumin powder (jeera),tabasco original sauce,sunflower oil,red chilli powder,cloves garlic,red chilli flakes,jalapenos,onion,green bell pepper (capsicum),wheat bread crumbs,dried oregano"
"salt,arhar dal (split toor dal),tamarind water,mustard seeds,asafoetida (hing),curry leaves,cumin seeds (jeera),methi seeds (fenugreek seeds),sunflower oil"
"tomato,salt,cumin powder (jeera),coriander powder,bay leaves (tej patta),mustard oil,coriander (dhania) leaves,water,sugar,cumin seeds (jeera),ginger paste,turmeric powder,green chillies,aar maach (fish) rohu katla fish (cut steaks)"
"fennel seeds (saunf),potato (aloo) skin,milk,red chilli powder,coriander (dhania) leaves,turmeric powder"
"salt,rye,jaggery,black urad dal (split),curry leaves,dry red chillies,onion,oil,tamarind paste,cumin seeds"
"green chillies,ginger,bay leaf (tej patta),coriander (dhania) leaves,mint leaves (pudina),cloves garlic,cinnamon stick (dalchini),onion,coriander powder,eggs,cloves (laung),garam masala powder,sunflower oil"
"coriander (dhania) leaves,cucumber grind,salt,green,cumin powder,curd,gourd"
